concept,condition,mean_similarity,sem_similarity,ci95_low,ci95_high,explicit_alias_leak_rate,n
drugs,unrelated_suppression,0.22957932918022075,0.016855421151996668,0.19773875371708224,0.26259326581687975,0.041666666666666664,24
financial_fraud,absent,0.30415745529656607,0.02838438232867292,0.25083922848959145,0.3623673836584203,0.16666666666666666,24
financial_fraud,mentioned,0.4444190487265587,0.027625208659675986,0.39108719266951086,0.4974494989961385,0.6666666666666666,24
financial_fraud,suppressed,0.3129542780959088,0.01779453457050141,0.27817747320817865,0.3467566439476998,0.0,23
financial_fraud,suppressed_indirect,0.32388544517258805,0.018845547625275922,0.2882720890454948,0.3613045836177965,0.0,24
financial_fraud,unrelated_suppression,0.3393361419439316,0.02167564480501075,0.29646949712187054,0.38092213210960224,0.16666666666666666,24
gun,absent,0.2727271057665348,0.010985694861588282,0.25221355779406923,0.29439044094954925,0.0,24
gun,mentioned,0.3549390994012356,0.02287084492119181,0.3100135278267165,0.40102905624856555,0.16666666666666666,24
gun,suppressed,0.2691667163744569,0.013391837847311414,0.24321121167546758,0.2946068717477222,0.0,24
gun,suppressed_indirect,0.2722577542687456,0.01620538795930945,0.24190502641722558,0.3027384244681646,0.0,24
gun,unrelated_suppression,0.2803707731266816,0.010279508699822186,0.2606781244122734,0.3000821047617743,0.0,24
hate_harassment,absent,0.2305239780495564,0.012114060560843116,0.2070161602149407,0.2555350495812793,0.0,24
hate_harassment,mentioned,0.4041105092813571,0.033464693133989094,0.3396117329907914,0.46488927554649606,0.5416666666666666,24
hate_harassment,suppressed,0.2554773526887099,0.01801669013941675,0.21980569266403713,0.287491541247194,0.0,24
hate_harassment,suppressed_indirect,0.2851497679948807,0.01827850252374016,0.2517897722156097,0.32028845998769007,0.0,24
hate_harassment,unrelated_suppression,0.24705735431052744,0.02226047973737257,0.2050599475216586,0.2879688611176485,0.041666666666666664,24
knife,absent,0.2745548092449705,0.02609465006349971,0.2265737326660504,0.32675041204007965,0.041666666666666664,24
knife,mentioned,0.3912089044849078,0.03673984968091035,0.32441332947152357,0.46322478355529395,0.375,24
knife,suppressed,0.32107741634051007,0.0287093081112314,0.26690630631831785,0.3749018102729072,0.0,24
knife,suppressed_indirect,0.3085514410682347,0.024236222236282814,0.2639160441315692,0.3574472158337416,0.0,23
knife,unrelated_suppression,0.3038639109581709,0.031099359066454797,0.24640401311529178,0.36428469784247375,0.125,24
medical_advice,absent,0.36648934582869214,0.01368826554237013,0.34095676109815637,0.39236053737501303,0.6666666666666666,24
medical_advice,mentioned,0.40211516494552296,0.018176617355240492,0.36877473766605057,0.43945660535246134,0.4583333333333333,24
medical_advice,suppressed,0.38995629946390786,0.021808012409919756,0.35001147185762727,0.43454813803235687,0.0,15
medical_advice,suppressed_indirect,0.3270221789677938,0.02975614810368452,0.26755003437399866,0.37985263084371884,0.0,15
medical_advice,unrelated_suppression,0.39058120052019757,0.020189030091592827,0.35323383288147553,0.42882717081035177,0.3333333333333333,24
password,absent,0.19753247670208415,0.03025681138183171,0.14021396503667347,0.25649092644259025,0.20833333333333334,24
password,mentioned,0.26126008690334857,0.03782007681373081,0.18978038458735683,0.33301914615246153,0.4166666666666667,24
password,suppressed,0.23828560401064655,0.035497942889320094,0.17206891998260593,0.3045013105263933,0.0,24
password,suppressed_indirect,0.17249543561289707,0.032472870413837174,0.10967299402432723,0.23747892101398754,0.0,18
password,unrelated_suppression,0.23417213714371124,0.03626958845030406,0.1677084160774636,0.3060288805592184,0.25,24
politics,absent,0.3118987511843443,0.012140797155543203,0.2892150423489511,0.33477954628566897,0.2916666666666667,24
politics,mentioned,0.38041945174336433,0.014768905009170157,0.3529008565470576,0.4114056010109683,0.75,24
politics,suppressed,0.31811296782995524,0.013423458441694744,0.2926524666971282,0.34351343130202666,0.0,19
politics,suppressed_indirect,0.29103952510790393,0.012828591741161662,0.26748277492482553,0.3169205486943775,0.0,22
politics,unrelated_suppression,0.345073193932573,0.01502417314619112,0.31727976943366226,0.37546966839581725,0.375,24
privacy_personal_data,absent,0.31357026286423206,0.022938887717626654,0.2688393632415682,0.35558997415937477,0.0,24
privacy_personal_data,mentioned,0.3967799848566453,0.018995910326460683,0.36124831060878937,0.4334284268474827,0.625,24
privacy_personal_data,suppressed,0.31484641762156235,0.02414580843707372,0.26774530575463645,0.36057746784859585,0.0,19
privacy_personal_data,suppressed_indirect,0.3408321633934975,0.027218617643816882,0.28713754169642924,0.39199940293096003,0.0,20
privacy_personal_data,unrelated_suppression,0.33235110187282163,0.0244658060673256,0.2821968625144412,0.377113911944131,0.25,24
race_ethnicity,absent,0.2609512846296032,0.021191108658349847,0.22106212944878886,0.301922852320907,0.041666666666666664,24
race_ethnicity,mentioned,0.4673131008942922,0.02675751154516196,0.4154353752421836,0.5178533512478073,0.5833333333333334,24
race_ethnicity,suppressed,0.27600838368137676,0.021921873940994232,0.23481259872205557,0.31771485310358305,0.0,24
race_ethnicity,suppressed_indirect,0.28498898006298323,0.024479310184587152,0.23972071238200773,0.3333559873175214,0.0,22
race_ethnicity,unrelated_suppression,0.27514733529339236,0.02268096857637309,0.23283132132298004,0.31775059769861397,0.0,24
religion,absent,0.3061292838926117,0.020689021669964416,0.2671191732399165,0.3453615445876494,0.16666666666666666,24
religion,mentioned,0.37969033295909566,0.030846775398978264,0.32158262928326925,0.43704234903367856,0.3333333333333333,24
religion,suppressed,0.28947383690286765,0.02501239837915375,0.2415002598723566,0.3351088436743752,0.0,22
religion,suppressed_indirect,0.304331071998762,0.024128523545969845,0.25848701006692393,0.3473796578853027,0.0,23
religion,unrelated_suppression,0.30286127926471335,0.030640634274695544,0.24612011229231331,0.363308474632989,0.08333333333333333,24
self_harm,absent,0.2719229959572355,0.021663647458623866,0.22976614019523064,0.31399509063921865,0.0,24
self_harm,mentioned,0.5461317182828983,0.03165055212193905,0.4819192615027229,0.6042306744959206,0.7916666666666666,24
self_harm,suppressed,0.2948707155883312,0.01889919377085055,0.2582981970626861,0.33080506923918923,0.0,24
self_harm,suppressed_indirect,0.30336199700832367,0.01988605352853055,0.2642998886294663,0.3410852588092287,0.0,24
self_harm,unrelated_suppression,0.30537495700021583,0.018780089431807763,0.2687456821246693,0.3426671158056706,0.0,24
sexual_content,absent,0.24709351236621538,0.018213794406872114,0.2120742425788194,0.28232357686695947,0.0,24
sexual_content,mentioned,0.41001481624941033,0.030166317145797726,0.35197712493439515,0.4684819313231855,0.5416666666666666,24
sexual_content,suppressed,0.2570407870023147,0.021877875907513777,0.21509665730206862,0.2992529628069504,0.0,23
sexual_content,suppressed_indirect,0.271413901510338,0.02365967643098353,0.22698754445494465,0.3175995229743421,0.0,24
sexual_content,unrelated_suppression,0.2850676899154981,0.025606235996228528,0.2381278597128888,0.3323156457239141,0.08333333333333333,24
violence,absent,0.2322280847777923,0.02481268677288374,0.18572120088307809,0.2812340539880097,0.0,24
violence,mentioned,0.3590032470722993,0.023770304555697785,0.31243329344627757,0.40445981317510205,0.20833333333333334,24
violence,suppressed,0.19304327063617252,0.02646336338110472,0.14584818799048663,0.24834303894922843,0.0,21
violence,suppressed_indirect,0.1880834677722305,0.02240256751763943,0.14621537876470636,0.23263527998157466,0.0,24
violence,unrelated_suppression,0.23420612762371698,0.02949836563168533,0.17856901915899168,0.29195053321309383,0.08333333333333333,24
